Instance,(ObO) Time in cutting,(ObO) Cuts added,SCIP Default,SCIP No heuristics
crudeoil_pooling_ct1,0.17,92,148.85,100097.08
crudeoil_pooling_ct2,0.11,97,16.74,16.74
crudeoil_pooling_ct3,2.18,214,194.64,2155.98
crudeoil_pooling_ct4,0.21,132,7.21,7.21
crudeoil_pooling_dt1,36.5,780,35.53,36.4
crudeoil_pooling_dt2,100.31,1265,0.54,0.55
crudeoil_pooling_dt3,74.74,1264,74.59,17.12
crudeoil_pooling_dt4,104.7,903,0.01,0.01
genpooling_lee1,0.01,24,6.74,6.83
genpooling_lee2,0.01,36,5.57,4.87
genpooling_meyer04,0.02,24,2.93,3.21
genpooling_meyer10,0.09,23,4.9,4.9
genpooling_meyer15,0.26,23,3.69,4.2
pooling_adhya1pq,0,30,-10.29,-10.29
pooling_adhya1stp,0.01,70,-10.29,-10.29
pooling_adhya1tp,0,40,-4.68,-4.68
pooling_adhya2pq,0,12,-1.17,-1.17
pooling_adhya2stp,0,36,-1.17,-1.17
pooling_adhya2tp,0,24,-0.36,-0.36
pooling_adhya3pq,0,20,-0.49,-0.49
pooling_adhya3stp,0.01,48,-0.61,-0.61
pooling_adhya3tp,0,28,-0.18,-0.18
pooling_adhya4pq,0.01,40,-2.05,-2.05
pooling_adhya4stp,0.02,79,-2.05,-2.05
pooling_adhya4tp,0,26,-1.01,-1.01
pooling_bental4pq,0,12,-1.05,-16.53
pooling_bental4stp,0.03,24,1.15,-12.27
pooling_bental4tp,0.01,12,1.11,-13.62
pooling_bental5pq,0,12,0,0
pooling_bental5stp,0.01,42,0,0
pooling_bental5tp,0.01,32,0,0
pooling_digabel16,0.06,44,-0.22,-0.22
pooling_digabel18,0.14,235,-0.11,-0.11
pooling_digabel19,0.09,25,0.26,0
pooling_foulds2stp,0,22,0,0
pooling_foulds2tp,0.02,10,0,0
pooling_foulds3pq,0.19,181,0,0
pooling_foulds3stp,1.17,411,0,0
pooling_foulds3tp,0.14,173,0,0
pooling_foulds4pq,0.31,226,0,0
pooling_foulds4stp,0.95,409,0,0
pooling_foulds4tp,0.13,150,0,0
pooling_foulds5pq,4.4,472,0,0
pooling_foulds5stp,31.53,803,0,0
pooling_foulds5tp,0.26,268,0,0
pooling_haverly1pq,0.05,8,0,-20
pooling_haverly1stp,0,16,0,-12.5
pooling_haverly1tp,0,8,0,-20
pooling_haverly2pq,0,8,-1.77,-40
pooling_haverly2stp,0,16,-40,-40
pooling_haverly2tp,0.09,8,10.49,-25
pooling_haverly3pq,0.09,8,2.08,-4.17
pooling_haverly3stp,0,16,2.08,-3.23
pooling_haverly3tp,0,8,11.34,-1.17
pooling_rt2pq,0,26,0,0
pooling_rt2stp,0.01,28,-2.68,-2.68
pooling_rt2tp,0,16,-2.68,-2.68
pooling_sppa0pq,1.24,235,-0.64,-0.64
pooling_sppa0stp,4.06,515,-0.37,-0.37
pooling_sppa0tp,1.6,273,-0.22,-0.22
pooling_sppa5pq,11.95,388,0,0
pooling_sppa5stp,37.04,737,0,0
pooling_sppa5tp,11.58,417,0,0
pooling_sppa9pq,27.37,327,0,0
pooling_sppa9stp,104.9,712,0,0
pooling_sppa9tp,20.88,346,0,0
pooling_sppb0pq,15.95,552,-0.08,-0.08
pooling_sppb0stp,61.31,1207,-0.12,-0.12
pooling_sppb0tp,19.84,571,-0.12,-0.12
pooling_sppb2pq,130.32,738,0,0
pooling_sppb2stp,554.11,1704,0,0
pooling_sppb2tp,152.76,777,0.00#,0
pooling_sppc0pq,224.03,1101,-0.68#,-0.33
pooling_sppc0stp,662.45,2167,-0.37,-0.37
pooling_sppc0tp,169.55,1089,-0.94#,-0.42
pooling_sppc1pq,690.27,1542,-0.36#,-0.3
